rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.94875,0.0,0.9998437255821222,0.0,2.294296979904175,0.0,0.06413698196411133,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.94875,0.9998437255821222
2,0.92625,0.0,0.9779653070792311,0.0,2.19499135017395,0.0,0.07054781913757324,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.92625,0.9779653070792311
3,0.7506249999999999,0.0,0.7935614939834349,0.0,1.8571803569793701,0.0,0.09640216827392578,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.7506249999999999,0.7935614939834349
4,0.65625,0.0,0.6958899828098141,0.0,1.4230220317840576,0.0,0.06769084930419922,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.65625,0.6958899828098141
4,0.65625,0.0,0.6958899828098141,0.0,1.4987339973449707,0.0,0.09397315979003906,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.65625,0.6958899828098141
6,0.585,0.0,0.6221284575714956,0.0,1.8200273513793945,0.0,0.08500099182128906,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.585,0.6221284575714956
7,0.396875,0.0,0.42365994686669795,0.0,1.4559426307678223,0.0,0.07216811180114746,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.396875,0.42365994686669795
7,0.396875,0.0,0.42365994686669795,0.0,1.396636724472046,0.0,0.05882573127746582,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.396875,0.42365994686669795
7,0.396875,0.0,0.42365994686669795,0.0,0.8357276916503906,0.0,0.04501056671142578,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.396875,0.42365994686669795
